Clima,TraficoPico,RiesgoRuta,Distancia_km,TiempoEstimado_min,TiempoReal_min,Demora_min,TipoCarga,Peso_kg,ExperienciaConductor_anios,AntiguedadCamion_anios,FallasMecanicas,NivelCombustible_pct,HorarioSalida,EntregaATiempo
1,1,2,291.94,291.9,327.5,35.6,0,4013,5,6,0,0,2,0
0,2,2,211.99,231.3,333.2,102.0,1,12517,9,2,1,0,0,0
1,1,2,93.25,101.7,147.2,45.4,2,9804,6,6,0,0,2,0
1,1,2,263.53,263.5,302.2,38.7,0,9436,9,6,0,0,1,0
0,2,1,38.72,42.2,69.2,27.0,1,9444,3,4,0,0,1,1
2,2,1,273.3,328.0,404.1,76.2,0,7362,6,8,0,0,0,0
1,0,0,210.5,315.8,392.9,77.1,1,10488,6,3,0,0,0,0
1,2,2,47.66,52.0,78.3,26.3,1,12606,6,8,0,0,1,1
0,2,2,37.03,40.4,59.7,19.3,1,11542,5,6,0,0,1,1
0,2,1,265.28,318.3,352.4,34.0,0,7748,7,5,0,0,0,0
0,2,2,109.6,119.6,148.7,29.2,1,4357,3,5,0,0,0,1
2,2,2,312.36,340.8,417.9,77.2,1,11026,7,4,0,0,0,0
1,2,2,269.1,293.6,309.6,16.0,1,5403,7,4,0,0,0,1
1,0,2,238.24,357.4,414.7,57.3,1,9088,5,3,0,0,0,0
0,2,2,104.73,114.2,115.9,1.7,1,8711,9,0,0,0,0,1
0,1,1,251.04,231.7,231.7,0.0,1,5456,11,4,0,0,0,1
0,2,1,332.37,362.6,375.0,12.4,1,9931,7,3,0,0,2,1
0,0,2,40.19,60.3,108.5,48.2,1,14386,7,6,0,0,2,0
1,1,2,120.9,120.9,147.6,26.7,0,6528,5,6,0,0,0,1
1,2,2,89.79,98.0,129.1,31.1,1,10915,5,8,0,0,0,0
1,0,0,138.14,236.8,326.1,89.3,0,7203,5,5,0,0,0,0
0,2,2,262.39,286.2,332.4,46.2,1,11157,6,6,0,0,0,0
2,0,0,167.54,251.3,317.9,66.6,1,7388,4,6,0,0,2,0
1,2,2,204.05,222.6,274.8,52.2,1,9593,9,8,0,0,0,0
1,2,1,116.81,127.4,151.9,24.5,1,10202,4,3,0,0,2,1
0,2,1,58.04,63.3,77.3,14.0,1,12585,2,5,0,0,0,1
0,0,0,103.8,177.9,217.5,39.6,0,6904,6,8,0,0,2,0
0,2,1,302.29,329.8,349.2,19.4,1,2075,6,4,0,0,1,1
0,2,0,214.82,234.4,290.1,55.8,1,6859,5,9,0,0,1,0
1,2,1,138.52,151.1,167.2,16.1,1,8825,4,4,0,0,2,1
1,2,2,278.57,303.9,332.1,28.2,1,6462,1,2,0,0,0,1
2,2,0,31.92,34.8,75.1,40.3,1,500,6,7,0,0,0,0
0,2,2,96.32,105.1,130.2,25.1,1,7186,3,3,0,0,0,0
0,0,2,89.16,133.7,150.5,16.8,1,8991,9,4,0,0,2,1
0,2,1,345.02,376.4,394.3,18.0,1,7687,4,8,0,0,2,1
0,2,2,250.07,300.1,333.3,33.2,0,6801,5,7,0,0,0,0
0,2,1,220.05,293.4,310.4,17.0,2,12781,2,4,0,0,1,1
0,2,1,11.69,30.0,30.0,0.0,1,9858,5,8,0,0,0,1
0,2,1,72.67,87.2,114.6,27.4,0,4579,4,2,0,0,0,1
1,1,1,226.08,226.1,259.7,33.6,0,5524,3,4,0,0,1,0
0,1,2,139.1,128.4,131.8,3.4,1,9144,3,5,0,0,0,1
1,2,2,324.26,389.1,427.4,38.3,0,5906,5,1,0,0,0,0
1,2,2,270.01,324.0,364.7,40.7,0,3718,7,3,0,0,1,0
0,2,1,162.11,216.1,236.7,20.5,2,11034,6,4,0,0,1,1
1,1,2,264.84,288.9,331.6,42.6,2,10737,5,7,0,0,1,0
1,2,2,341.64,372.7,434.9,62.2,1,6941,5,5,0,0,0,0
0,1,2,166.73,153.9,173.1,19.2,1,10490,3,8,0,0,0,1
0,2,2,228.46,249.2,282.0,32.8,1,9236,9,9,0,0,1,0
1,0,2,319.68,479.5,547.4,67.9,1,13983,5,7,0,0,2,0
0,1,1,94.55,87.3,87.3,0.0,1,9976,12,2,0,0,0,1
0,2,1,311.43,415.2,431.3,16.1,2,11147,8,4,0,0,2,1
0,1,1,43.17,39.8,50.2,10.3,1,10841,8,4,0,0,1,1
1,1,0,230.47,212.7,244.2,31.5,1,10925,4,8,0,0,2,0
1,1,1,276.16,276.2,318.6,42.4,0,8773,5,2,0,0,1,0
1,1,1,218.97,202.1,230.8,28.7,1,6090,5,4,0,0,0,1
1,2,2,178.48,194.7,250.5,55.8,1,10340,7,10,0,0,1,0
0,0,2,215.76,431.5,495.8,64.2,2,9976,5,2,0,0,0,0
0,1,1,61.57,56.8,61.8,5.0,1,5209,3,2,0,0,0,1
0,2,1,83.29,90.9,101.3,10.5,1,9636,8,3,0,0,0,1
0,2,1,101.77,111.0,125.1,14.1,1,7408,6,6,0,0,0,1
1,0,0,222.58,445.2,512.6,67.4,2,15370,6,4,0,0,1,0
0,2,1,160.25,174.8,197.8,23.0,1,8120,6,4,0,0,2,1
0,1,1,93.12,86.0,88.0,2.0,1,12207,11,3,0,0,0,1
1,2,1,310.16,338.4,376.0,37.6,1,12020,8,4,0,0,0,0
1,2,2,137.13,149.6,201.7,52.1,1,11367,5,9,0,0,2,0
0,0,0,167.43,334.9,459.2,124.3,2,10655,6,11,1,0,0,0
0,2,1,149.3,162.9,185.9,23.1,1,10489,4,8,0,0,0,1
0,2,1,71.86,95.8,123.2,27.4,2,9423,10,8,0,0,2,1
0,1,2,258.75,238.8,242.7,3.9,1,6237,4,4,0,0,2,1
0,2,1,162.48,177.2,199.2,22.0,1,6736,3,7,0,0,1,1
0,0,2,13.38,30.0,74.7,44.7,0,5700,5,4,0,0,0,0
0,2,1,337.76,368.5,394.0,25.5,1,12503,6,3,0,0,1,1
1,2,0,287.36,313.5,362.5,49.1,1,11692,6,5,0,0,2,0
0,0,1,249.51,427.7,449.7,22.0,0,4907,12,4,0,0,2,0
0,0,2,296.07,444.1,482.1,38.0,1,9133,4,5,0,0,0,0
0,2,0,318.31,347.3,381.7,34.5,1,7993,9,3,0,0,2,0
0,2,2,124.75,166.3,200.2,33.8,2,11467,6,7,0,0,1,0
1,2,2,217.73,237.5,284.6,47.1,1,7660,3,5,0,0,0,0
0,2,1,216.99,236.7,249.2,12.4,1,12514,4,3,0,0,0,1
1,2,1,100.88,110.1,110.1,0.0,1,8953,4,6,0,0,0,1
1,1,1,85.46,78.9,86.4,7.5,1,9540,4,3,0,0,2,1
0,0,2,44.21,66.3,87.9,21.6,1,9561,6,6,0,0,0,1
1,0,0,238.75,409.3,470.3,61.0,0,8009,0,4,0,0,1,0
0,0,0,271.71,407.6,468.9,61.4,1,9271,8,5,0,0,0,0
0,0,2,269.53,462.0,509.8,47.7,0,6285,8,6,0,0,1,0
0,2,0,117.53,128.2,157.1,28.9,1,12682,4,3,0,0,0,1
1,2,2,79.79,87.0,101.8,14.8,1,6130,3,6,0,0,2,1
0,2,1,164.23,179.2,189.4,10.3,1,5203,7,5,0,0,1,1
0,2,2,195.92,235.1,261.1,26.0,0,6362,6,6,0,0,1,1
0,2,1,322.49,351.8,366.8,15.0,1,11773,5,3,0,0,1,1
0,1,1,307.44,283.8,296.7,12.9,1,9899,7,4,0,0,1,0
1,2,0,321.46,385.8,530.5,144.8,0,7317,11,8,1,0,2,0
0,1,1,299.09,276.1,292.8,16.7,1,5599,2,5,0,0,0,1
0,1,1,337.96,312.0,317.7,5.7,1,7570,9,5,0,0,2,1
0,2,1,168.27,224.4,250.0,25.7,2,9014,2,5,0,0,0,1
1,2,1,26.14,30.0,55.0,25.0,1,8644,8,6,0,0,1,1
0,1,1,38.41,35.5,35.5,0.0,1,3589,4,1,0,0,2,1
0,0,2,145.13,217.7,240.7,23.0,1,12332,4,5,0,0,2,1
0,0,0,101.35,152.0,206.0,53.9,1,12887,3,3,0,0,0,0
2,1,2,67.78,62.6,105.2,42.7,1,9352,10,8,0,0,0,0
2,1,2,334.09,334.1,397.8,63.7,0,9986,8,7,0,0,2,0
1,2,2,76.44,83.4,132.5,49.1,1,9939,4,7,0,0,0,0
0,2,0,336.19,403.4,432.1,28.7,0,6822,9,3,0,0,2,1
2,0,0,264.8,529.6,628.0,98.4,2,10096,6,5,0,0,0,0
1,1,2,227.92,227.9,244.3,16.4,0,5764,6,5,0,0,0,1
1,2,2,239.85,287.8,330.7,42.9,0,6223,6,3,0,0,1,0
0,1,1,122.7,122.7,145.3,22.6,0,7267,4,4,0,0,0,1
0,2,2,229.79,306.4,330.1,23.8,2,15158,4,8,0,0,0,1
0,0,0,81.78,122.7,172.1,49.5,1,4183,5,7,0,0,0,0
2,1,2,328.82,303.5,344.1,40.6,1,14660,6,2,0,0,2,0
0,1,1,112.61,103.9,124.1,20.1,1,9349,7,3,0,0,1,0
0,2,1,96.76,105.6,105.6,0.0,1,11167,3,2,0,0,2,1
0,2,1,251.8,274.7,297.0,22.3,1,7846,7,9,0,0,0,1
0,0,1,233.2,399.8,433.5,33.7,0,6653,7,4,0,0,0,0
0,0,1,168.8,253.2,289.3,36.1,1,12565,6,5,0,0,0,1
1,1,2,225.03,245.5,269.4,23.9,2,11524,9,7,0,0,0,1
1,1,1,64.23,59.3,75.0,15.8,1,9872,7,1,0,0,0,1
1,2,2,238.93,260.7,297.4,36.7,1,10108,3,5,0,0,0,0
0,1,1,102.01,94.2,114.3,20.1,1,9185,4,9,0,0,0,1
1,0,2,102.44,153.7,216.2,62.6,1,7039,5,6,0,0,1,0
0,2,2,65.14,71.1,87.2,16.1,1,8626,6,2,0,0,0,1
